A,determinant,B,type_relation
agilité,du,chat,r_has_property-1
beauté,du,paysage,r_has_property-1
bonté,d'une,mère,r_has_property-1
blancheur,de,neige,r_has_property-1
clarté,du,ciel,r_has_property-1
douceur,de,soie,r_has_property-1
dureté,d',acier,r_has_property-1
élégance,d'une,robe,r_has_property-1
finesse,du,grain,r_has_property-1
force,du,lion,r_has_property-1
froideur,de,marbre,r_has_property-1
gentillesse,d'un,hôte,r_has_property-1
hauteur,d'un,mur,r_has_property-1
intelligence,du,singe,r_has_property-1
jeunesse,d',esprit,r_has_property-1
légèreté,d'une,plume,r_has_property-1
lourdeur,du,climat,r_has_property-1
maigreur,d'un,enfant,r_has_property-1
noblesse,du,geste,r_has_property-1
orgueil,du,chef,r_has_property-1
patience,du,pêcheur,r_has_property-1
pureté,d',âme,r_has_property-1
rapidité,du,vent,r_has_property-1
rigueur,d',hiver,r_has_property-1
sagesse,du,vieillard,r_has_property-1
solitude,d'un,poète,r_has_property-1
souplesse,du,gymnaste,r_has_property-1
tristesse,de,l'heure,r_has_property-1
vaillance,du,soldat,r_has_property-1
verdeur,d'une,pomme,r_has_property-1
vigueur,du,sportif,r_has_property-1
vivacité,d',esprit,r_has_property-1
adresse,du,tireur,r_has_property-1
amertume,du,fruit,r_has_property-1
aptitude,d'un,élève,r_has_property-1
aridité,du,sol,r_has_property-1
audace,d'un,plan,r_has_property-1
austérité,de,vie,r_has_property-1
autorité,du,maître,r_has_property-1
avidité,d'un,loup,r_has_property-1
banalité,d'un,propos,r_has_property-1
bassesse,d',âme,r_has_property-1
beauté,d'un,visage,r_has_property-1
bienveillance,du,juge,r_has_property-1
bizarrerie,d'un,fait,r_has_property-1
bravoure,d'un,guerrier,r_has_property-1
brièveté,d'un,discours,r_has_property-1
brillance,du,métal,r_has_property-1
calme,du,lac,r_has_property-1
capacité,d'un,moteur,r_has_property-1
chaleur,d',été,r_has_property-1
charisme,du,meneur,r_has_property-1
charme,d'une,ville,r_has_property-1
clarté,d'un,texte,r_has_property-1
cohérence,d'un,récit,r_has_property-1
colère,du,peuple,r_has_property-1
complexité,d'un,problème,r_has_property-1
confiance,d'un,ami,r_has_property-1
courtoisie,d'un,valet,r_has_property-1
cruauté,d'un,tyran,r_has_property-1
curiosité,d'un,enfant,r_has_property-1
danger,d'une,route,r_has_property-1
densité,de,forêt,r_has_property-1
dignité,d'un,homme,r_has_property-1
docilité,d'un,chien,r_has_property-1
droiture,du,magistrat,r_has_property-1
efficacité,d'un,remède,r_has_property-1
élasticité,d'un,ressort,r_has_property-1
éloquence,du,tribun,r_has_property-1
émotion,d'une,foule,r_has_property-1
endurance,du,coureur,r_has_property-1
énergie,du,soleil,r_has_property-1
énigme,d'un,crime,r_has_property-1
étanchéité,d'une,cuve,r_has_property-1
étrangeté,d'un,lieu,r_has_property-1
excellence,du,travail,r_has_property-1
exigence,d'un,poste,r_has_property-1
extravagance,d'une,idée,r_has_property-1
facilité,d',accès,r_has_property-1
faiblesse,d'un,maillon,r_has_property-1
fermeté,du,bras,r_has_property-1
férocité,d'un,ours,r_has_property-1
fiabilité,d'une,montre,r_has_property-1
fierté,d'un,père,r_has_property-1
fluidité,du,trafic,r_has_property-1
folie,d'un,acte,r_has_property-1
fragilité,du,verre,r_has_property-1
franchise,d'un,aveu,r_has_property-1
fraîcheur,de,l'eau,r_has_property-1
générosité,d'un,don,r_has_property-1
glace,d'un,regard,r_has_property-1
grandeur,d',âme,r_has_property-1
gravité,d'une,faute,r_has_property-1
habileté,d'un,artisan,r_has_property-1
hardiesse,du,marin,r_has_property-1
harmonie,d'un,chant,r_has_property-1
héroïsme,d'un,peuple,r_has_property-1
honnêteté,d'un,témoin,r_has_property-1
horreur,d'un,crime,r_has_property-1
humilité,du,moine,r_has_property-1
humour,d'un,auteur,r_has_property-1
idéal,d'une,vie,r_has_property-1
immensité,d',océan,r_has_property-1
impatience,d'un,client,r_has_property-1
importance,d'une,tâche,r_has_property-1
imprudence,d'un,piéton,r_has_property-1
impureté,de,l'air,r_has_property-1
innocence,d'un,bébé,r_has_property-1
insouciance,d'un,jeune,r_has_property-1
intensité,du,feu,r_has_property-1
intimité,d'une,chambre,r_has_property-1
ironie,du,sort,r_has_property-1
ivresse,d'un,soir,r_has_property-1
jalousie,d'un,amant,r_has_property-1
joie,d'un,gagnant,r_has_property-1
justesse,d'un,ton,r_has_property-1
laxisme,d'un,parent,r_has_property-1
lenteur,du,convoi,r_has_property-1
limpidité,d'un,lac,r_has_property-1
loyauté,d'un,serviteur,r_has_property-1
lucidité,du,blessé,r_has_property-1
lumière,du,jour,r_has_property-1
luxe,d'un,palais,r_has_property-1
magie,d'un,lieu,r_has_property-1
magnificence,d'un,décor,r_has_property-1
majesté,d'un,roi,r_has_property-1
malice,d'un,renard,r_has_property-1
malpropreté,d'un,coin,r_has_property-1
méchanceté,d'un,geste,r_has_property-1
médiocrité,d'un,film,r_has_property-1
mélancolie,d',automne,r_has_property-1
