"A","R","B","type_relation"
"film","d'","horreur","r_topic"
"livre","de","science-fiction","r_topic"
"livre","de","cuisine","r_topic"
"livre","d'","histoire","r_topic"
"salle","de","classe","r_topic"
"salle","de","concert","r_topic"
"salle","de","bain","r_topic"
"café","de","quartier","r_lieu"
"musée","de","sciences","r_topic"
"musée","d'","art moderne","r_topic"
"musée","de","province","r_lieu"
"restaurant","de","sushi","r_topic"
"restaurant","de","tacos","r_topic"
"école","de","danse","r_topic"
"école","de","commerce","r_topic"
"école","de","cuisine","r_topic"
"club","de","lecture","r_topic"
"club","de","sport","r_topic"
"club","de","vacances","r_topic"
"cours","de","mathématiques","r_topic"
"cours","de","piano","r_topic"
"cours","de","yoga","r_topic"
"photo","du","voyage","r_topic"
"photo","du","voyage","r_depict"
"photo","de","famille","r_topic"
"photo","de","famille","r_depict"
"festival","de","musique","r_topic"
"festival","de","cinéma","r_topic"
"pièce","de","théâtre","r_topic"
"pièce","de","monnaie","r_topic"
"chanson","de","variété","r_topic"
"chanson","d'","amour","r_topic"
"jeu","de","sport","r_topic"
"peinture","de","Marseille","r_depict"
"peinture","de","paysage","r_depict"
"peinture","de","paysage","r_topic"
"recette","de","cuisine","r_topic"
"recette","de","grand-mère","r_product_of"
"spectacle","de","danse","r_topic"
"atelier","de","poterie","r_topic"
"atelier","de","peinture","r_topic"
"pain","de","seigle","r_objet>matiere"
"verre","de","lunettes","r_holo"
"verre","de","montre","r_holo"
"tour","de","contrôle","r_topic"
"tour","de","pise","r_lieu>origine"
"bouteille","de","vin","r_topic"
"bouteille","de","lait","r_topic"
"tableau","de","classe","r_holo"
"ordinateur","de","bureau","r_lieu"
"parfum","de","fleurs","r_topic"
"parfum","de","vanille","r_topic"
"poème","d'","amour","r_topic"
"poème","de","guerre","r_topic"
"groupe","de","musique","r_topic"
"groupe","de","travail","r_topic"
"spectateur","de","cinéma","r_topic"
"spectateur","de","match","r_topic"
"pièce","d'","art","r_topic"
"cours","de","récréation","r_topic"
"cours","d'","eau","r_objet>matiere"
"église","du","village","r_own-1"
"église","de","pierre","r_objet>matiere"
"rue","de","Paris","r_lieu"
"saison","de","chasse","r_topic"
"saison","de","pluie","r_topic"
"colonne","de","marbre","r_objet>matiere"
"colonne","de","fumée","r_objet>matiere"
"source","de","lumière","r_topic"
"source","de","plaisir","r_topic"
"brin","d'","herbe","r_quantificateur"
"grain","de","sel","r_quantificateur"
"grain","de","sable","r_quantificateur"
"goutte","d'","eau","r_quantificateur"
"goutte","de","sang","r_quantificateur"
"poignée","de","riz","r_quantificateur"
"verre","de","vin","r_quantificateur"
"verre","de","lait","r_quantificateur"
"verre","de","bière","r_quantificateur"
"bouteille","de","parfum","r_quantificateur"
"bouteille","d'","eau","r_quantificateur"
"flacon","de","parfum","r_quantificateur"
"flacon","d'","huile","r_quantificateur"
"cuillère","de","sucre","r_quantificateur"
"cuillère","de","miel","r_quantificateur"
"bol","de","riz","r_quantificateur"
"bol","de","soupe","r_quantificateur"
"tasse","de","café","r_quantificateur"
"tasse","de","thé","r_quantificateur"
"litre","de","lait","r_quantificateur"
"litre","d'","essence","r_quantificateur"
"kilo","de","pommes","r_quantificateur"
"kilo","de","pain","r_quantificateur"
"tranche","de","pain","r_quantificateur"
"tranche","de","jambon","r_quantificateur"
"morceau","de","fromage","r_quantificateur"
