"A","R","B","type_relation"
"anxiété","de l'","incertitude","r_has_causatif"
"imprimante","de","documents","r_processus>instr-1"
"métro","de","Moscou","r_lieu"
"ordinateur","de","bureau","r_lieu"
"drone","du","vidéaste","r_own-1"
"pain","du","boulanger","r_product_of"
"chute","du","cavalier","r_processus_patient"
"lac","du","Titicaca","r_lieu"
"verre","de","bière","r_quantificateur"
"caviar","de","Russie","r_lieu>origine"
"colisée","de","Rome","r_lieu"
"casse","du","vase","r_processus_patient"
"racine","de la","plante","r_holo"
"propagation","du","feu","r_processus_patient"
"maison","de","pierre","r_objet>matiere"
"lampe","de","bronze","r_objet>matiere"
"cadre","du","portrait","r_holo"
"composition","du","artiste","r_processus_agent"
"fresque","d'un","marché","r_depict"
"baguette","du","magicien","r_own-1"
"temple","de","Luxor","r_lieu"
"interruption","du","service","r_processus_patient"
"bateau","de","bois","r_objet>matiere"
"cahier","d'un","élève","r_own-1"
"pollution","du","fleuve","r_processus_patient"
"algorithme","de","Google","r_product_of"
"vidéo","d'un","spectacle","r_depict"
"intuition","du","médium","r_has_property-1"
"règle","de","traçage","r_processus>instr-1"
"bouton","du","manteau","r_holo"
"soutien","du","parrain","r_processus_agent"
"fougue","du","jeune artiste","r_has_property-1"
"bande dessinée","d'une","aventure","r_depict"
"vallée","du","Rift","r_lieu"
"verre","de","vin","r_quantificateur"
"fatigue","du","travail","r_has_causatif"
"blessures","du","combat","r_has_causatif"
"dette","des","prêts","r_has_causatif"
"bris","de la","vitre","r_processus_patient"
"graine","du","jardinier","r_own-1"
"sel","de la","mine","r_product_of"
"bistouri","de","chirurgie","r_processus>instr-1"
"escalade","du","montagnard","r_processus_agent"
"ampoule","du","luminaire","r_holo"
"tour","de","contrôle","r_topic"
"inondation","des","pluies","r_has_causatif"
"rue","de","Paris","r_lieu"
"dépression","du","traumatisme","r_has_causatif"
"parfum","de","vanille","r_topic"
"marteau","du","commissaire-priseur","r_own-1"
